school,saGradRate,sbGradRate,conference
Binghamton University,73,81,America East Conference
Stony Brook University,62,70,America East Conference
University at Albany,68,66,America East Conference
University of Hartford,69,57,America East Conference
"University of Maine, Orono",66,59,America East Conference
"University of Maryland, Baltimore County",61,63,America East Conference
University of Massachusetts Lowell,70,57,America East Conference
University of New Hampshire,79,77,America East Conference
University of Vermont,71,75,America East Conference
East Carolina University,69,61,American Athletic Conference
Southern Methodist University,67,79,American Athletic Conference
Temple University,74,70,American Athletic Conference
The University of Tulsa,72,70,American Athletic Conference
Tulane University,71,83,American Athletic Conference
University of Central Florida,58,70,American Athletic Conference
University of Cincinnati,68,66,American Athletic Conference
University of Connecticut,68,82,American Athletic Conference
University of Houston,58,51,American Athletic Conference
University of Memphis,60,43,American Athletic Conference
University of South Florida,67,68,American Athletic Conference
Wichita State University,57,45,American Athletic Conference
Florida Gulf Coast University,53,46,ASUN Conference
Jacksonville University,54,42,ASUN Conference
Kennesaw State University,53,42,ASUN Conference
Lipscomb University,66,58,ASUN Conference
New Jersey Institute of Technology,59,61,ASUN Conference
Stetson University,63,63,ASUN Conference
University of North Florida,65,55,ASUN Conference
University of South Carolina Upstate,47,43,ASUN Conference
Davidson College,92,94,Atlantic 10 Conference
Duquesne University,72,76,Atlantic 10 Conference
Fordham University,84,80,Atlantic 10 Conference
George Mason University,74,69,Atlantic 10 Conference
George Washington University,82,82,Atlantic 10 Conference
La Salle University,80,66,Atlantic 10 Conference
Saint Joseph's University,80,78,Atlantic 10 Conference
Saint Louis University,73,75,Atlantic 10 Conference
St. Bonaventure University,74,66,Atlantic 10 Conference
University of Dayton,77,77,Atlantic 10 Conference
"University of Massachusetts, Amherst",68,77,Atlantic 10 Conference
University of Rhode Island,63,63,Atlantic 10 Conference
University of Richmond,82,87,Atlantic 10 Conference
Virginia Commonwealth University,64,62,Atlantic 10 Conference
Boston College,82,92,Atlantic Coast Conference
Clemson University,67,82,Atlantic Coast Conference
Duke University,89,95,Atlantic Coast Conference
Florida State University,60,80,Atlantic Coast Conference
Georgia Institute of Technology,70,84,Atlantic Coast Conference
North Carolina State University,64,77,Atlantic Coast Conference
Syracuse University,72,82,Atlantic Coast Conference
University of Louisville,69,53,Atlantic Coast Conference
University of Miami (Florida),59,82,Atlantic Coast Conference
"University of North Carolina, Chapel Hill",68,91,Atlantic Coast Conference
University of Notre Dame,93,96,Atlantic Coast Conference
University of Pittsburgh,64,82,Atlantic Coast Conference
University of Virginia,79,94,Atlantic Coast Conference
Virginia Polytechnic Institute and State University,67,84,Atlantic Coast Conference
Wake Forest University,76,88,Atlantic Coast Conference
Baylor University,70,73,Big 12 Conference
Iowa State University,70,72,Big 12 Conference
Kansas State University,68,62,Big 12 Conference
Oklahoma State University,47,62,Big 12 Conference
Texas Christian University,65,78,Big 12 Conference
Texas Tech University,62,60,Big 12 Conference
University of Kansas,63,62,Big 12 Conference
University of Oklahoma,60,67,Big 12 Conference
University of Texas at Austin,68,81,Big 12 Conference
West Virginia University,64,57,Big 12 Conference
Butler University,75,77,Big East Conference
Creighton University,72,78,Big East Conference
DePaul University,71,72,Big East Conference
Georgetown University,88,94,Big East Conference
Marquette University,77,80,Big East Conference
Providence College,80,85,Big East Conference
Seton Hall University,74,65,Big East Conference
St. John's University (New York),66,58,Big East Conference
Villanova University,81,90,Big East Conference
Xavier University,77,72,Big East Conference
"California State University, Sacramento",56,48,Big Sky Conference
Eastern Washington University,60,47,Big Sky Conference
Idaho State University,56,29,Big Sky Conference
Montana State University-Bozeman,67,53,Big Sky Conference
Northern Arizona University,60,53,Big Sky Conference
